feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score
30,labevents::50816::Oxygen::valuenum,Oxygen,labevents,50816,valuenum,lab_blood_gas_respiration,last,0.0018131753895431757,291,0.03628428927680798,77,214,856.6914672851562,71.87013244628906,58.18691635131836,13.683216094970703,0.2062220751409148,0.2062220751409148,0.6311142128899139,0.6311142128899139,0.3329947907131266,2.3802301439565734,0.07292647814972253,False,False,,0.7086854866255362
32,labevents::50801::Alveolar-arterial Gradient::valuenum,Alveolar-arterial Gradient,labevents,50801,valuenum,lab_other,max,0.0006598088075406849,108,0.013466334164588529,37,71,9459.5849609375,506.70269775390625,540.4718017578125,33.76910400390625,-0.16477452879917429,0.16477452879917429,0.37438142367719834,0.6256185763228017,0.31553442746204474,2.2554243388998207,0.17298892375233565,False,False,,0.6464214925228604
31,labevents::50817::Oxygen Saturation::valuenum,Oxygen Saturation,labevents,50817,valuenum,lab_blood_gas_respiration,min,0.013424771837890148,1182,0.14738154613466334,198,984,426.1733093261719,80.99662780761719,70.32662200927734,10.670005798339844,0.19301197356672448,0.19301197356672448,0.6476015233637186,0.6476015233637186,0.2399911111922957,1.7154444846365522,0.03348908905188619,False,False,lower_may_indicate_worse_oxygenation,0.6309300863094415
21,chartevents::223835::Inspired O2 Fraction::valuenum,Inspired O2 Fraction,chartevents,223835,valuenum,respiratory_support_intensity,last,0.03489193692803383,1856,0.2314214463840399,402,1454,564.4392700195312,67.18449401855469,56.61542892456055,10.56906509399414,0.18325053827279056,0.18325053827279056,0.6250282288694081,0.6250282288694081,0.29192878964312113,2.0866924179481567,0.01634443372717631,False,False,,0.6100441735134945
17,chartevents::224643::Manual Blood Pressure Diastolic Left::valuenum,Manual Blood Pressure Diastolic Left,chartevents,224643,valuenum,vital_blood_pressure,min,0.0003065253549721092,56,0.006982543640897756,4,52,202.02552795410156,72.75,64.71154022216797,8.038459777832031,0.14565100059741842,0.14565100059741842,0.6778846153846154,0.6778846153846154,0.4372994652406417,3.125794751541842,0.00924700736021622,False,False,low_or_high_may_indicate_instability,0.603117244854176
2,chartevents::220277::O2 saturation pulseoxymetry::valuenum,O2 saturation pulseoxymetry,chartevents,220277,valuenum,vital_oxygen_saturation,observed_fraction,0.6085671186447144,8020,1.0,1122,6898,0.1450699418783188,0.46557486057281494,0.6318256855010986,0.1662508249282837,-0.15141141660566232,0.15141141660566232,0.3811319409020363,0.6188680590979637,0.1161462077258901,0.8302072958659881,0.026092689808102643,False,False,lower_may_indicate_worse_oxygenation,0.5818207287819225
0,chartevents::220045::Heart Rate::valuenum,Heart Rate,chartevents,220045,valuenum,vital_heart_rate,observed_fraction,0.6215710639953613,8020,1.0,1122,6898,0.14815644919872284,0.47218504548072815,0.6458695530891418,0.1736845076084137,-0.15652525156413397,0.15652525156413397,0.3798358717218403,0.6201641282781597,0.11613393979996625,0.8301196053437874,0.0233198299989108,False,False,higher_may_indicate_physiologic_stress,0.5809239908530767
1,chartevents::220210::Respiratory Rate::valuenum,Respiratory Rate,chartevents,220210,valuenum,vital_respiratory_rate,observed_fraction,0.6187344193458557,8020,1.0,1122,6898,0.14791637659072876,0.47181373834609985,0.6426319479942322,0.17081820964813232,-0.15406701293652816,0.15406701293652816,0.38211629969471117,0.6178837003052888,0.11691255573404159,0.8356851131791565,0.023984630647141403,False,False,higher_may_indicate_respiratory_distress,0.5784850444545786
6,chartevents::220181::Non Invasive Blood Pressure mean::valuenum,Non Invasive Blood Pressure mean,chartevents,220181,valuenum,vital_blood_pressure,observed_fraction,0.5171654224395752,8020,1.0,1122,6898,0.1517847776412964,0.3736630976200104,0.540506899356842,0.16684380173683167,-0.14855238571575635,0.14855238571575635,0.37436482144453764,0.6256351785554624,0.11392239611157245,0.8143116014392257,0.017873317632831842,False,False,low_or_high_may_indicate_instability,0.5576778780074964
4,chartevents::220179::Non Invasive Blood Pressure systolic::valuenum,Non Invasive Blood Pressure systolic,chartevents,220179,valuenum,vital_blood_pressure,observed_fraction,0.516879677772522,8020,1.0,1122,6898,0.15172329545021057,0.3732546269893646,0.5402411222457886,0.16698649525642395,-0.1487095843195243,0.1487095843195243,0.37443614336533004,0.62556385663467,0.11389409551922251,0.8141093102176156,0.01635166983530323,False,False,low_or_high_may_indicate_instability,0.5532355177311857
5,chartevents::220180::Non Invasive Blood Pressure diastolic::valuenum,Non Invasive Blood Pressure diastolic,chartevents,220180,valuenum,vital_blood_pressure,observed_fraction,0.516806960105896,8020,1.0,1122,6898,0.1516776978969574,0.3732546269893646,0.5401565432548523,0.16690191626548767,-0.1486566187119337,0.1486566187119337,0.37444370193845744,0.6255562980615426,0.11388033124446553,0.8140109238686396,0.016069745873306118,False,False,low_or_high_may_indicate_instability,0.5523092931147895
10,chartevents::223761::Temperature Fahrenheit::valuenum,Temperature Fahrenheit,chartevents,223761,valuenum,vital_temperature,observed_fraction,0.167648583650589,8020,1.0,1122,6898,0.012004395946860313,0.13621510565280914,0.1727614402770996,0.036546334624290466,-0.11570639208759795,0.11570639208759795,0.39402712507022364,0.6059728749297764,0.12423731883442467,0.8880421542353707,0.017463704830945836,False,False,,0.5058059173991036
