feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,standardized_variance_diagonal,mrmr_rank,mrmr_score,mean_abs_corr_with_previous_selected,lambda_redundancy,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,elasticnet_successful_bootstraps,elasticnet_n_requested_bootstraps,rfecv_selected,rfecv_rank,mrmr_rank_score,component_relevance,component_stability,component_mrmr,component_coverage,component_rfecv,penalty_leakage,penalty_static,penalty_sparse,penalty_low_relevance,consensus_score,recommendation,recommendation_order
0,chartevents::220045::Heart Rate::valuenum,Heart Rate,chartevents,220045,valuenum,vital_heart_rate,observed_fraction,0.6215710639953613,8020,1.0,1122,6898,0.14815644919872284,0.47218504548072815,0.6458695530891418,0.1736845076084137,-0.15652525156413397,0.15652525156413397,0.3798358717218403,0.6201641282781597,0.11613393979996625,0.8301196053437874,0.0233198299989108,False,False,higher_may_indicate_physiologic_stress,0.5809239908530767,1,3,1.0001247076492181,7.0,0.47729600205042605,0.20725597760530126,0.5,1.0,0.5582435308024287,80.0,80.0,False,,0.9,0.5809239908530767,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.754277197255923,core,1
30,labevents::50816::Oxygen::valuenum,Oxygen,labevents,50816,valuenum,lab_blood_gas_respiration,last,0.0018131753895431757,291,0.03628428927680798,77,214,856.6914672851562,71.87013244628906,58.18691635131836,13.683216094970703,0.2062220751409148,0.2062220751409148,0.6311142128899139,0.6311142128899139,0.3329947907131266,2.3802301439565734,0.07292647814972253,False,False,,0.7086854866255362,23,1,1.0001247138331604,1.0,0.7086854866255362,0.0,0.5,1.0,0.04032954667054582,80.0,80.0,False,,1.0,0.7086854866255362,1.0,1.0,0.03628428927680798,0.0,0.0,0.0,0.0,0.0,0.7162340749153416,core,1
5,chartevents::220180::Non Invasive Blood Pressure diastolic::valuenum,Non Invasive Blood Pressure diastolic,chartevents,220180,valuenum,vital_blood_pressure,observed_fraction,0.516806960105896,8020,1.0,1122,6898,0.1516776978969574,0.3732546269893646,0.5401565432548523,0.16690191626548767,-0.1486566187119337,0.1486566187119337,0.37444370193845744,0.6255562980615426,0.11388033124446553,0.8140109238686396,0.016069745873306118,False,False,low_or_high_may_indicate_instability,0.5523092931147895,3,3,1.0001247476733983,16.0,0.3863862524201147,0.3318460813893496,0.5,1.0,0.07666801615851,80.0,80.0,False,,0.75,0.5523092931147895,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.7156927879344368,core,1
4,chartevents::220179::Non Invasive Blood Pressure systolic::valuenum,Non Invasive Blood Pressure systolic,chartevents,220179,valuenum,vital_blood_pressure,observed_fraction,0.516879677772522,8020,1.0,1122,6898,0.15172329545021057,0.3732546269893646,0.5402411222457886,0.16698649525642395,-0.1487095843195243,0.1487095843195243,0.37443614336533004,0.62556385663467,0.11389409551922251,0.8141093102176156,0.01635166983530323,False,False,low_or_high_may_indicate_instability,0.5532355177311857,3,3,1.0001247355951461,14.0,0.40527010392068086,0.2959308276210098,0.5,0.975,0.09519426708575338,80.0,80.0,False,,0.7833333333333333,0.5532355177311857,0.975,0.7833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.7151373219860223,core,1
31,labevents::50817::Oxygen Saturation::valuenum,Oxygen Saturation,labevents,50817,valuenum,lab_blood_gas_respiration,min,0.013424771837890148,1182,0.14738154613466334,198,984,426.1733093261719,80.99662780761719,70.32662200927734,10.670005798339844,0.19301197356672448,0.19301197356672448,0.6476015233637186,0.6476015233637186,0.2399911111922957,1.7154444846365522,0.03348908905188619,False,False,lower_may_indicate_worse_oxygenation,0.6309300863094415,24,1,1.0001246975546287,2.0,0.6103546713630221,0.0411508298928387,0.5,1.0,0.10457250508479773,80.0,80.0,False,,0.9833333333333333,0.6309300863094415,1.0,0.9833333333333333,0.14738154613466334,0.0,0.0,0.0,0.0,0.0,0.7006838471729654,core,1
21,chartevents::223835::Inspired O2 Fraction::valuenum,Inspired O2 Fraction,chartevents,223835,valuenum,respiratory_support_intensity,last,0.03489193692803383,1856,0.2314214463840399,402,1454,564.4392700195312,67.18449401855469,56.61542892456055,10.56906509399414,0.18325053827279056,0.18325053827279056,0.6250282288694081,0.6250282288694081,0.29192878964312113,2.0866924179481567,0.01634443372717631,False,False,,0.6100441735134945,18,1,1.000124728466874,4.0,0.5815044247298748,0.057079497567239394,0.5,1.0,0.2402002664282918,80.0,80.0,False,,0.95,0.6100441735134945,1.0,0.95,0.2314214463840399,0.0,0.0,0.0,0.0,0.0,0.6961553966924524,core,1
22,chartevents::223834::O2 Flow::valuenum,O2 Flow,chartevents,223834,valuenum,respiratory_support_intensity,last,0.11722776293754578,5548,0.6917705735660847,698,4850,54.071815490722656,7.836198329925537,5.627319812774658,2.208878517150879,0.09962047500139144,0.09962047500139144,0.6319408915014918,0.6319408915014918,0.1824724704936082,1.3043041117279304,0.00702148575525241,False,False,,0.4790118308859593,19,1,1.0001247158166402,10.0,0.4388865850546963,0.08025049166252592,0.5,1.0,0.1915756704285741,80.0,80.0,False,,0.85,0.4790118308859593,1.0,0.85,0.6917705735660847,0.0,0.0,0.0,0.0,0.0,0.6828806066223962,core,1
10,chartevents::223761::Temperature Fahrenheit::valuenum,Temperature Fahrenheit,chartevents,223761,valuenum,vital_temperature,observed_fraction,0.167648583650589,8020,1.0,1122,6898,0.012004395946860313,0.13621510565280914,0.1727614402770996,0.036546334624290466,-0.11570639208759795,0.11570639208759795,0.39402712507022364,0.6059728749297764,0.12423731883442467,0.8880421542353707,0.017463704830945836,False,False,,0.5058059173991036,7,1,1.0001246694523205,19.0,0.3708668577456529,0.2698781193069014,0.5,0.95,0.0662460661973455,80.0,80.0,False,,0.7,0.5058059173991036,0.95,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.676741775219731,core,1
57,"labevents::50885::Bilirubin, Total::valuenum","Bilirubin, Total",labevents,50885,valuenum,lab_liver_protein,max,0.018344763666391373,2822,0.3518703241895262,422,2400,31.977144241333008,4.608767509460449,2.256458282470703,2.352309226989746,0.1483472296553195,0.1483472296553195,0.5824096563981043,0.5824096563981043,0.22849635336227256,1.63328052938095,0.016053533168423284,False,False,,0.4891608685599924,41,1,1.000124688058837,6.0,0.48366405024692605,0.010993636626132728,0.5,1.0,0.18215855192393066,80.0,80.0,False,,0.9166666666666666,0.4891608685599924,1.0,0.9166666666666666,0.3518703241895262,0.0,0.0,0.0,0.0,0.0,0.6652686263202837,core,1
35,labevents::50813::Lactate::valuenum,Lactate,labevents,50813,valuenum,lab_metabolic,last,0.031234413385391235,3207,0.39987531172069823,555,2652,2.254678726196289,2.3880481719970703,1.8640484809875488,0.5239996910095215,0.13201486694752532,0.13201486694752532,0.573184609949316,0.573184609949316,0.2417394356809517,1.727941420821063,0.007957005204353162,False,False,higher_may_indicate_shock_or_stress,0.46265435021613516,28,1,1.0001247102120419,11.0,0.43154493552443673,0.06221882938339688,0.5,1.0,0.10850522564724088,80.0,80.0,False,,0.8333333333333334,0.46265435021613516,1.0,0.8333333333333334,0.39987531172069823,0.0,0.0,0.0,0.0,0.0,0.6454505029035771,core,1
