recommendation,feature_index,variable,label,source,clinical_category,summary_mode,valid_fraction,hourly_coverage,point_biserial_corr,auroc,auprc,ap_lift_over_prevalence,mutual_information,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,mrmr_rank,mrmr_score,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,rfecv_selected,consensus_score,physiology_direction_hint
core,0,chartevents::220045::Heart Rate::valuenum,Heart Rate,chartevents,vital_heart_rate,observed_fraction,1.0,0.6215710639953613,-0.15652616637959632,0.3798603563305182,0.11614675420228315,0.8302112020519705,0.023388759126659275,0.581119967127723,1,5,17.0,0.5371235542747871,1.0,0.5954929394647479,False,0.7571316890630481,higher_may_indicate_physiologic_stress
core,230,chartevents::225638::Differential-Bands::valuenum,Differential-Bands,chartevents,chart_other,min,0.06022443890274314,0.0028158770874142647,0.22174484373275957,0.6534622326751627,0.33027670233617284,2.3608013839002733,0.05925996215560092,0.7283415557761748,150,1,1.0,0.7283415557761748,1.0,0.10582668683491647,False,0.7245249106231266,
core,11,chartevents::220179::Non Invasive Blood Pressure systolic::valuenum,Non Invasive Blood Pressure systolic,chartevents,vital_blood_pressure,observed_fraction,1.0,0.5168640613555908,-0.14869796238156122,0.3744440249544031,0.11389636552836883,0.8141255361296953,0.016434657257576868,0.5534649994636343,6,3,26.0,0.4753738552624698,0.925,0.052993824626901186,False,0.7166577794089828,low_or_high_may_indicate_instability
core,282,labevents::50816::Oxygen::valuenum,Oxygen,labevents,lab_blood_gas_respiration,last,0.03628428927680798,0.0018131753895431757,0.2062220751409148,0.6311142128899139,0.3329947907131266,2.3802301439565734,0.07292647814972253,0.7086854866255362,193,1,3.0,0.6940013534347884,1.0,0.06605040668509901,False,0.7140835372809331,
core,165,labevents::50817::Oxygen Saturation::valuenum,Oxygen Saturation,labevents,lab_blood_gas_respiration,min,0.14738154613466334,0.013424771837890148,0.19301197356672448,0.6476015233637186,0.2399911111922957,1.7154444846365522,0.03348908905188619,0.6309300863094415,91,1,7.0,0.6207682111513342,1.0,0.12168125919997692,False,0.697565567603073,lower_may_indicate_worse_oxygenation
core,12,chartevents::220180::Non Invasive Blood Pressure diastolic::valuenum,Non Invasive Blood Pressure diastolic,chartevents,vital_blood_pressure,observed_fraction,1.0,0.5167913436889648,-0.14864499520779037,0.3744515835275305,0.11388260438308552,0.814027172150041,0.0161431571166768,0.552510046216914,6,3,29.0,0.46295440535361054,0.85,0.03746912649546295,False,0.6906454869833538,low_or_high_may_indicate_instability
core,69,chartevents::223834::O2 Flow::valuenum,O2 Flow,chartevents,chart_other,last,0.6917705735660847,0.11723295599222183,0.09962047500139144,0.6319408915014918,0.1824724704936082,1.3043041117279304,0.00702148575525241,0.4790118308859593,27,1,28.0,0.4617879876971957,1.0,0.27135186046361925,False,0.6838483485578801,
core,307,chartevents::226536::Chloride (whole blood)::valuenum,Chloride (whole blood),chartevents,chart_other,mean,0.029925187032418952,0.001724854577332735,0.1681862386438487,0.624917328042328,0.3926998996887868,2.806999282980455,0.06456413326515476,0.698800640934286,216,1,4.0,0.6885635937523171,0.875,0.023464464549033438,False,0.6719069045319148,
core,350,"labevents::50884::Bilirubin, Indirect::valuenum","Bilirubin, Indirect",labevents,lab_liver_protein,min,0.024314214463840397,0.0011118038091808558,0.2262902891916136,0.5347943498130453,0.3256968906533184,2.328065118573631,0.04308711840508184,0.6046454868690493,256,1,9.0,0.5987336137159008,0.9875,0.04221381416427903,False,0.6714729169694644,
core,100,chartevents::225668::Lactic Acid::valuenum,Lactic Acid,chartevents,chart_other,last,0.3374064837905237,0.025519534945487976,0.1515460808854554,0.5829347257682488,0.25321970062169924,1.810001781627476,0.010291875172550702,0.49674967236590045,37,2,24.0,0.4758936715071347,0.9875,0.08214812722289935,False,0.6542843672931236,
core,96,"labevents::50885::Bilirubin, Total::valuenum","Bilirubin, Total",labevents,lab_liver_protein,max,0.3518703241895262,0.018344763666391373,0.1483472296559921,0.5824096563981043,0.22849635336227256,1.63328052938095,0.016053533168423284,0.4891608685608332,44,2,27.0,0.46948371258892574,1.0,0.1896740784868598,False,0.6539783037398906,
core,223,"labevents::51214::Fibrinogen, Functional::valuenum","Fibrinogen, Functional",labevents,lab_coagulation,mean,0.06820448877805486,0.0040939319878816605,-0.13748568243528267,0.3827153661686036,0.20417063950505693,1.4594015408471985,0.07604630351976138,0.5482159860455076,144,2,16.0,0.5374460809321496,0.9875,0.07469493082171538,False,0.6514062124333933,
core,238,"labevents::50806::Chloride, Whole Blood::valuenum","Chloride, Whole Blood",labevents,lab_electrolyte,min,0.05673316708229426,0.0037302577402442694,0.11369494842099254,0.5904040939704089,0.33364530794701186,2.384880008676502,0.050900210844646576,0.5725855358740833,156,1,15.0,0.5405634524470713,0.925,0.0318269631221483,False,0.6398952140295943,
core,150,chartevents::220224::Arterial O2 pressure::valuenum,Arterial O2 pressure,chartevents,chart_other,slope,0.029800498753117206,0.012105153873562813,0.14147917116503156,0.6024694733005286,0.36975383755351776,2.642981976095555,0.00878799052518242,0.5205222159290971,80,1,20.0,0.5106946410465756,1.0,0.12949914487544448,False,0.6387066071271591,
