feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,standardized_variance_diagonal,mrmr_rank,mrmr_score,mean_abs_corr_with_previous_selected,lambda_redundancy,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,elasticnet_successful_bootstraps,elasticnet_n_requested_bootstraps,rfecv_selected,rfecv_rank,mrmr_rank_score,component_relevance,component_stability,component_mrmr,component_coverage,component_rfecv,penalty_leakage,penalty_static,penalty_sparse,penalty_low_relevance,consensus_score,recommendation,recommendation_order
61,chartevents::220635::Magnesium::valuenum,Magnesium,chartevents,220635,valuenum,chart_other,observed_fraction,0.0523950532078743,8020,1.0,1122,6898,0.0016476389719173312,0.042595066130161285,0.05398908257484436,0.011394016444683075,-0.0973709156280076,0.0973709156280076,0.41556976911853855,0.5844302308814615,0.12263212606367822,0.8765683164266483,0.008613453786707304,False,False,,0.4381455503025213,9,19,1.0001247260759678,53.0,0.3850557337100039,0.10617963318503479,0.5,0.9625,0.19109131537843496,80.0,80.0,False,,0.7204301075268817,0.4381455503025213,0.9625,0.7204301075268817,1.0,0.0,0.0,0.0,0.0,0.0,0.6642796865961328,review,3
147,chartevents::223830::PH (Arterial)::valuenum,PH (Arterial),chartevents,223830,valuenum,chart_other,observed_fraction,0.01256753969937563,8020,1.0,1122,6898,0.0011735806474462152,0.02113042213022709,0.01117473840713501,0.00995568372309208,0.10080877957186413,0.10080877957186413,0.5662319001245033,0.5662319001245033,0.16833357778779343,1.2032400123512508,0.004821502295001778,False,False,lower_may_indicate_acidosis,0.4062985421780847,78,3,1.0001246610746042,65.0,0.3539977112679063,0.10460166182035684,0.5,0.95,0.12696593080763705,80.0,80.0,False,,0.6559139784946236,0.4062985421780847,0.95,0.6559139784946236,1.0,0.0,0.0,0.0,0.0,0.0,0.6380723583523501,review,3
87,labevents::50820::pH::valuenum,pH,labevents,50820,valuenum,lab_blood_gas_respiration,observed_fraction,0.030823981389403343,8020,1.0,1122,6898,0.002617135876789689,0.04226084426045418,0.028963709250092506,0.013297135010361671,0.09016304711698757,0.09016304711698757,0.5762936530209226,0.5762936530209226,0.1680852833618261,1.201465216187028,0.00793214856598845,False,False,lower_may_indicate_acidosis,0.4284812597492602,40,5,1.0001247086768528,58.0,0.3696984775075693,0.11756556448338186,0.5,0.8875,0.10601710085502418,80.0,80.0,False,,0.6935483870967742,0.4284812597492602,0.8875,0.6935483870967742,1.0,0.0,0.0,0.0,0.0,0.0,0.6335040553441328,review,3
56,chartevents::220621::Glucose (serum)::valuenum,Glucose (serum),chartevents,220621,valuenum,bedside_glucose,observed_fraction,0.0536523275077343,8020,1.0,1122,6898,0.0016757971607148647,0.043857693672180176,0.055245477706193924,0.011387784034013748,-0.09649666257385309,0.09649666257385309,0.4176029606866337,0.5823970393133663,0.1225036631256206,0.8756500697571098,0.005293760631790656,False,False,,0.4253905807098071,9,19,1.0001246581208965,63.0,0.36037312749288963,0.13003490643383495,0.5,0.8875,0.13038794874853424,80.0,80.0,False,,0.6666666666666667,0.4253905807098071,0.8875,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.6272005075462755,review,3
57,chartevents::227443::HCO3 (serum)::valuenum,HCO3 (serum),chartevents,227443,valuenum,chart_other,observed_fraction,0.05384974926710129,8020,1.0,1122,6898,0.001675355015322566,0.04408051073551178,0.055438779294490814,0.011358268558979034,-0.09625918361501284,0.09625918361501284,0.41691991116803084,0.5830800888319692,0.12256938011777375,0.8761198115370281,0.0048710620734058185,False,False,,0.42441122109931123,9,19,1.000124745338333,67.0,0.3533991554088391,0.14202413138094427,0.5,0.875,0.1609691300734994,80.0,80.0,False,,0.6451612903225806,0.42441122109931123,0.875,0.6451612903225806,1.0,0.0,0.0,0.0,0.0,0.0,0.6188556243943094,review,3
82,chartevents::225664::Glucose finger stick (range 70-100)::valuenum,Glucose finger stick (range 70-100),chartevents,225664,valuenum,bedside_glucose,observed_fraction,0.05810993164777756,8020,1.0,1122,6898,0.010087188333272934,0.04222370684146881,0.06069392338395119,0.018470216542482376,-0.06379262874017769,0.06379262874017769,0.43818398626484517,0.5618160137351549,0.12576979631637097,0.8989962267890332,0.005253054035998295,False,False,,0.3698691112537603,36,1,1.0001246845718432,87.0,0.3317604506676285,0.07621732117226367,0.5,1.0,0.08009139222558588,80.0,80.0,False,,0.5376344086021505,0.3698691112537603,1.0,0.5376344086021505,1.0,0.0,0.0,0.0,0.0,0.0,0.6184876150965581,review,3
52,chartevents::227442::Potassium (serum)::valuenum,Potassium (serum),chartevents,227442,valuenum,chart_other,observed_fraction,0.05674875155091286,8020,1.0,1122,6898,0.001959987450391054,0.04723707586526871,0.05829588323831558,0.011058807373046875,-0.08664934280580089,0.08664934280580089,0.4199417253392831,0.5800582746607169,0.12384516857845862,0.8852390837782872,0.0060487017493982,False,False,,0.41427432713220985,9,19,1.0001246886392676,92.0,0.3254265213052163,0.17769561165398706,0.5,0.9375,0.31504449509084226,80.0,80.0,False,,0.510752688172043,0.41427432713220985,0.9375,0.510752688172043,1.0,0.0,0.0,0.0,0.0,0.0,0.6076828357740716,review,3
109,labevents::52172::RDW-SD::valuenum,RDW-SD,labevents,52172,valuenum,lab_other,max,0.020417705178260803,2449,0.3053615960099751,294,2155,89.89143371582031,55.229591369628906,52.43596267700195,2.793628692626953,0.09576748807687797,0.09576748807687797,0.5598647347570119,0.5598647347570119,0.17317274076326217,1.2378301077730505,0.02682825399369637,False,False,,0.40219228364314197,49,1,1.0001246920564697,54.0,0.3842466095115636,0.03589134826315675,0.5,0.9875,0.037014394512516445,80.0,80.0,False,,0.7150537634408602,0.40219228364314197,0.9875,0.7150537634408602,0.3053615960099751,0.0,0.0,0.0,0.0,0.0,0.5904545973821123,review,3
62,chartevents::225677::Phosphorous::valuenum,Phosphorous,chartevents,225677,valuenum,chart_other,observed_fraction,0.05114297568798065,8020,1.0,1122,6898,0.0015826679300516844,0.0417780764400959,0.052666231989860535,0.010888155549764633,-0.0949386736839153,0.0949386736839153,0.4191504654788983,0.5808495345211018,0.12303138525658595,0.8794222012101778,0.006707180043345806,False,False,,0.42675969328599445,9,19,1.0001246822590342,60.0,0.3672279858723907,0.11906341482720749,0.5,0.75,0.13991247080266475,80.0,80.0,False,,0.6827956989247312,0.42675969328599445,0.75,0.6827956989247312,1.0,0.0,0.0,0.0,0.0,0.0,0.5895870477707446,review,3
64,chartevents::220546::WBC::valuenum,WBC,chartevents,220546,valuenum,chart_other,observed_fraction,0.046560682356357574,8020,1.0,1122,6898,0.0012670918367803097,0.039884135127067566,0.0476466603577137,0.007762525230646133,-0.07564542106675647,0.07564542106675647,0.43296114144015496,0.567038858559845,0.12701194288781092,0.9078750284850656,0.003330804757476491,False,False,,0.38039721218386413,22,3,1.0001247058541987,102.0,0.30618034949149764,0.14843372538473304,0.5,0.9375,0.12262365269998554,80.0,80.0,False,,0.456989247311828,0.38039721218386413,0.9375,0.456989247311828,1.0,0.0,0.0,0.0,0.0,0.0,0.5867670131175249,review,3
159,chartevents::225667::Ionized Calcium::valuenum,Ionized Calcium,chartevents,225667,valuenum,chart_other,observed_fraction,0.010780340991914272,8020,1.0,1122,6898,0.0009048860520124435,0.016896909102797508,0.009785445407032967,0.007111463695764542,0.08200603398538654,0.08200603398538654,0.5409283814213632,0.5409283814213632,0.15906236276881955,1.136969830130065,0.002143352690385125,False,False,,0.3472081325260655,74,2,1.0001247466456558,112.0,0.2908640129192579,0.11268823921361525,0.5,1.0,0.35970316659659146,80.0,80.0,False,,0.4032258064516129,0.3472081325260655,1.0,0.4032258064516129,1.0,0.0,0.0,0.0,0.0,0.0,0.5848076010481422,review,3
72,labevents::51274::PT::valuenum,PT,labevents,51274,valuenum,lab_coagulation,max,0.0370635911822319,5112,0.6374064837905237,675,4437,126.27538299560547,20.110445022583008,17.87560272216797,2.234842300415039,0.06732760200789575,0.06732760200789575,0.5676274426330772,0.5676274426330772,0.16425762339701006,1.1741052938003749,0.012392492858788184,False,False,,0.37408528257067813,29,2,1.000124713378248,69.0,0.34894263721369134,0.05028529071397358,0.5,0.9375,0.06831929464242421,80.0,80.0,False,,0.6344086021505376,0.37408528257067813,0.9375,0.6344086021505376,0.6374064837905237,0.0,0.0,0.0,0.0,0.0,0.5840979535803633,review,3
10,chartevents::220181::Non Invasive Blood Pressure mean::valuenum,Non Invasive Blood Pressure mean,chartevents,220181,valuenum,vital_blood_pressure,observed_fraction,0.517149806022644,8020,1.0,1122,6898,0.15177644789218903,0.3736630976200104,0.5404887795448303,0.16682568192481995,-0.14854033237485523,0.14854033237485523,0.3743649506509159,0.6256350493490841,0.11391673446468681,0.8142711322698648,0.017974391157045355,False,False,low_or_high_may_indicate_instability,0.5579625561081278,6,3,1.0001247002748594,23.0,0.49319688585822136,0.12953134049981294,0.5,0.4625,0.02564054508693516,80.0,80.0,False,,0.8817204301075269,0.5579625561081278,0.4625,0.8817204301075269,1.0,0.0,0.0,0.0,0.0,0.0,0.5824828528539437,review,3
27,labevents::50868::Anion Gap::valuenum,Anion Gap,labevents,50868,valuenum,lab_metabolic,last,0.06262988597154617,7025,0.8759351620947631,890,6135,15.09145450592041,15.708989143371582,14.907090187072754,0.8018989562988281,0.06866093234704411,0.06866093234704411,0.5455495728139337,0.5455495728139337,0.15794116365121422,1.1289555547974492,0.002203097654470465,False,False,,0.3605482624242939,11,1,1.0001247151157098,86.0,0.33354985517391034,0.053996814500767064,0.5,0.925,0.02474419731661328,80.0,80.0,False,,0.543010752688172,0.3605482624242939,0.925,0.543010752688172,0.8759351620947631,0.0,0.0,0.0,0.0,0.0,0.5818601454743989,review,3
141,labevents::50808::Free Calcium::valuenum,Free Calcium,labevents,50808,valuenum,lab_electrolyte,observed_fraction,0.01307668350636959,8020,1.0,1122,6898,0.001148401526734233,0.019236482679843903,0.012074756436049938,0.007161726243793964,0.07330853025659563,0.07330853025659563,0.5417998784426394,0.5417998784426394,0.15718527814184882,1.1235525229034113,0.0013979969129023218,False,False,,0.33597561672855025,74,2,1.000124689689739,120.0,0.2795926577367662,0.11276591798356807,0.5,1.0,0.2568625811487436,80.0,80.0,False,,0.3602150537634409,0.33597561672855025,1.0,0.3602150537634409,1.0,0.0,0.0,0.0,0.0,0.0,0.5728356957712533,review,3
59,chartevents::220545::Hematocrit (serum)::valuenum,Hematocrit (serum),chartevents,220545,valuenum,chart_other,observed_fraction,0.05079488828778267,8020,1.0,1122,6898,0.0017101520206779242,0.04378342255949974,0.0519353449344635,0.00815192237496376,-0.06837955651162815,0.06837955651162815,0.43429157951696457,0.5657084204830354,0.1268461802704456,0.9066901655694954,0.006554735868228523,False,False,,0.38326290342810704,22,3,1.0001247276777434,97.0,0.31665516038064895,0.1332154860949162,0.5,0.8625,0.054345123831626554,80.0,80.0,False,,0.4838709677419355,0.38326290342810704,0.8625,0.4838709677419355,1.0,0.0,0.0,0.0,0.0,0.0,0.5705030645768192,review,3
246,chartevents::229357::Absolute Count - Neuts::valuenum,Absolute Count - Neuts,chartevents,229357,valuenum,chart_other,min,0.0024106400087475777,428,0.05336658354114713,63,365,75.71248626708984,12.86047649383545,10.412274360656738,2.448202133178711,0.09968652845537075,0.09968652845537075,0.5972167862578821,0.5972167862578821,0.20429613441119268,1.4602985721726964,0.020402658772401994,False,False,,0.39302841193664545,131,2,1.000124681356912,55.0,0.3834388267488282,0.019179170375634578,0.5,1.0,0.101835353023489,80.0,80.0,False,,0.7096774193548387,0.39302841193664545,1.0,0.7096774193548387,0.05336658354114713,0.0,0.0,0.0,0.0,0.0,0.5651806658060761,review,3
30,labevents::51265::Platelet Count::valuenum,Platelet Count,labevents,51265,valuenum,lab_cbc,min,0.0559590607881546,6921,0.8629675810473816,881,6040,14401.3759765625,199.47445678710938,211.97682189941406,12.502365112304688,-0.034723828780952364,0.034723828780952364,0.46340157557261086,0.5365984244273891,0.12069576776836974,0.862727323977117,0.012336250821525674,False,False,,0.31788297975217666,14,1,1.0001246974965325,108.0,0.29587675953894577,0.04401244042646175,0.5,0.9875,0.047916758921928704,80.0,80.0,False,,0.4247311827956989,0.31788297975217666,0.9875,0.4247311827956989,0.8629675810473816,0.0,0.0,0.0,0.0,0.0,0.562857888589531,review,3
332,labevents::51455::Polys::valuenum,Polys,labevents,51455,valuenum,lab_other,max,0.0011169991921633482,209,0.026059850374064837,16,193,998.37939453125,36.75,47.663211822509766,10.913211822509766,-0.09183265882174556,0.09183265882174556,0.400259067357513,0.599740932642487,0.06940884213848214,0.49613093934993474,0.04918959617963381,False,False,,0.3872195873554707,240,1,1.0001246979935448,56.0,0.3783008587458196,0.017837457219302157,0.5,1.0,0.10677588351536542,80.0,80.0,False,,0.7043010752688172,0.3872195873554707,1.0,0.7043010752688172,0.026059850374064837,0.0,0.0,0.0,0.0,0.0,0.5596320762978111,review,3
32,labevents::51250::MCV::valuenum,MCV,labevents,51250,valuenum,lab_other,slope,0.055304449051618576,773,0.09638403990024938,108,665,0.04301421716809273,0.0035655556712299585,-0.032647378742694855,0.03621293441392481,0.06053421015525346,0.06053421015525346,0.5634015594541911,0.5634015594541911,0.20183221085876327,1.4426865695965077,0.02288838459677134,False,False,,0.3749164488374676,16,1,1.0001247061511649,61.0,0.36566711797528834,0.018498661724358538,0.5,1.0,0.05883817975409329,80.0,80.0,False,,0.6774193548387097,0.3749164488374676,1.0,0.6774193548387097,0.09638403990024938,0.0,0.0,0.0,0.0,0.0,0.5575972096090072,review,3
34,labevents::51277::RDW::valuenum,RDW,labevents,51277,valuenum,lab_other,min,0.05529925227165222,6918,0.8625935162094763,881,6037,6.336857795715332,15.917593955993652,15.562928199768066,0.35466575622558594,0.04696771338719837,0.04696771338719837,0.527159982228396,0.527159982228396,0.14805863833173888,1.05831575705931,0.007985056209706798,False,False,,0.3288451275217253,17,1,1.0001246623923001,105.0,0.30239794245491963,0.0528943701336113,0.5,0.925,0.032101355305439935,80.0,80.0,False,,0.4408602150537635,0.3288451275217253,0.925,0.4408602150537635,0.8625935162094763,0.0,0.0,0.0,0.0,0.0,0.550584932888218,review,3
