feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score,correlation_cluster_id,standardized_variance_diagonal,correlation_cluster_size,mrmr_eligible,mrmr_rank,mrmr_score,mean_abs_corr_with_previous_selected,lambda_redundancy
230,chartevents::225638::Differential-Bands::valuenum,Differential-Bands,chartevents,225638,valuenum,chart_other,min,0.0028158770874142647,483,0.06022443890274314,94,389,48.52326583862305,7.361701965332031,3.4601542949676514,3.90154767036438,0.22174484373275957,0.22174484373275957,0.6534622326751627,0.6534622326751627,0.33027670233617284,2.3608013839002733,0.05925996215560092,False,False,,0.7283415557761748,150,1.0001247484405196,1,True,1.0,0.7283415557761748,0.0,0.5
390,"labevents::50976::Protein, Total::valuenum","Protein, Total",labevents,50976,valuenum,lab_other,min,0.0008000831003300846,149,0.0185785536159601,14,135,1.1072384119033813,6.371428966522217,5.591851711273193,0.7795772552490234,0.21616374216969741,0.21616374216969741,0.7362433862433861,0.7362433862433861,0.22021218730825298,1.5740657238967817,0.047938522779602755,False,False,,0.7166403594535085,289,1.0001247078267914,2,True,2.0,0.7021830629157074,0.028914593075602135,0.5
282,labevents::50816::Oxygen::valuenum,Oxygen,labevents,50816,valuenum,lab_blood_gas_respiration,last,0.0018131753895431757,291,0.03628428927680798,77,214,856.6914672851562,71.87013244628906,58.18691635131836,13.683216094970703,0.2062220751409148,0.2062220751409148,0.6311142128899139,0.6311142128899139,0.3329947907131266,2.3802301439565734,0.07292647814972253,False,False,,0.7086854866255362,193,1.0001247138331604,1,True,3.0,0.6940013534347884,0.02936826638149548,0.5
307,chartevents::226536::Chloride (whole blood)::valuenum,Chloride (whole blood),chartevents,226536,valuenum,chart_other,mean,0.001724854577332735,240,0.029925187032418952,72,168,62.712440490722656,105.95254516601562,103.04612731933594,2.9064178466796875,0.1681862386438487,0.1681862386438487,0.624917328042328,0.624917328042328,0.3926998996887868,2.806999282980455,0.06456413326515476,False,False,,0.698800640934286,216,1.0001246868582006,1,True,4.0,0.6885635937523171,0.0204740943639377,0.5
417,labevents::50823::Required O2::valuenum,Required O2,labevents,50823,valuenum,lab_other,max,0.0006598088075406849,108,0.013466334164588529,37,71,176.9039764404297,84.67567443847656,89.50704193115234,4.831367492675781,-0.17238817501449089,0.17238817501449089,0.368290826037305,0.631709173962695,0.3091003931101452,2.209434182480717,0.15289481871903376,False,False,,0.6569785153689955,312,1.0001247444328947,2,True,5.0,0.639110555390009,0.035735919957973025,0.5
370,chartevents::225310::ART BP Diastolic::valuenum,ART BP Diastolic,chartevents,225310,valuenum,vital_blood_pressure,slope,0.010811513289809227,126,0.01571072319201995,25,101,4.83286190032959,1.472907304763794,0.05853159725666046,1.4143757075071335,0.2565799649039662,0.2565799649039662,0.5350495049504951,0.5350495049504951,0.37650883505451976,2.691266361084892,0.04557376398189783,False,False,,0.6514156782721751,273,1.000124721991194,1,True,6.0,0.6370621380048985,0.028707080534552964,0.5
165,labevents::50817::Oxygen Saturation::valuenum,Oxygen Saturation,labevents,50817,valuenum,lab_blood_gas_respiration,min,0.013424771837890148,1182,0.14738154613466334,198,984,426.1733093261719,80.99662780761719,70.32662200927734,10.670005798339844,0.19301197356672448,0.19301197356672448,0.6476015233637186,0.6476015233637186,0.2399911111922957,1.7154444846365522,0.03348908905188619,False,False,lower_may_indicate_worse_oxygenation,0.6309300863094415,91,1.0001246975546287,1,True,7.0,0.6207682111513342,0.02032375031621459,0.5
389,labevents::51447::Macrophages::valuenum,Macrophages,labevents,51447,valuenum,lab_blood_gas_respiration,min,0.0008000831003300846,151,0.018827930174563592,15,136,425.8789367675781,32.20000076293945,17.415441513061523,14.78455924987793,0.21429074627122188,0.21429074627122188,0.6183823529411764,0.6183823529411764,0.25760708955993394,1.8413626187795635,0.03663590185627652,False,False,,0.610743348937854,288,1.0001246684374925,1,True,8.0,0.6039304276995887,0.013625842476530535,0.5
350,"labevents::50884::Bilirubin, Indirect::valuenum","Bilirubin, Indirect",labevents,50884,valuenum,lab_liver_protein,min,0.0011118038091808558,195,0.024314214463840397,29,166,7.03924036026001,3.5620687007904053,1.8746988773345947,1.6873698234558105,0.2262902891916136,0.2262902891916136,0.5347943498130453,0.5347943498130453,0.3256968906533184,2.328065118573631,0.04308711840508184,False,False,,0.6046454868690493,256,1.0001247218947438,1,True,9.0,0.5987336137159008,0.011823746306296973,0.5
399,chartevents::220650::Total Protein::valuenum,Total Protein,chartevents,220650,valuenum,chart_other,min,0.000732543645426631,136,0.016957605985037406,10,126,1.1295135021209717,6.5,5.5523810386657715,0.9476189613342285,0.2327203612763717,0.2327203612763717,0.7726190476190475,0.7726190476190475,0.23756505774040765,1.6981031756489033,0.022400094296501694,False,False,,0.6611371851041774,289,1.000124687140964,2,True,10.0,0.6013521543416199,0.1195700615251149,0.5
162,chartevents::220274::PH (Venous)::valuenum,PH (Venous),chartevents,220274,valuenum,chart_other,slope,0.008904821239411831,106,0.013216957605985038,19,87,5.8164507208857685e-05,-0.002298312494531274,0.0020071351900696754,0.004305447684600949,-0.216530886140914,0.216530886140914,0.3297035692679976,0.6702964307320024,0.13300254636202655,0.9506955631225071,0.04093888020858105,False,False,lower_may_indicate_acidosis,0.5985049324715643,88,1.0001247027196434,1,True,11.0,0.5899472584822766,0.017115347978575494,0.5
