feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,standardized_variance_diagonal,mrmr_rank,mrmr_score,mean_abs_corr_with_previous_selected,lambda_redundancy,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,elasticnet_successful_bootstraps,elasticnet_n_requested_bootstraps,rfecv_selected,rfecv_rank,mrmr_rank_score,component_relevance,component_stability,component_mrmr,component_coverage,component_rfecv,penalty_leakage,penalty_static,penalty_sparse,penalty_low_relevance,consensus_score,recommendation,recommendation_order,final_branch,final_rank_within_branch,evidence_feature_index,final_feature_order,broad_feature_index
26,labevents::50802::Base Excess::valuenum,Base Excess,labevents,50802,valuenum,lab_blood_gas_respiration,observed_fraction,0.0267236623913049,7866,1.0,1130,6736,0.0023062729742377,0.0373156368732452,0.0249468032270669,0.0123688336461782,0.0903357415108863,0.0903357415108863,0.5739990383200555,0.5739990383200555,0.172531801581439,1.2010045586191147,0.0,False,False,,0.3989262831542168,20,4,1.0001271545052988,20.0,0.3547297180355173,0.0883931302373991,0.5,0.9875,0.2487472858303954,80.0,80.0,False,,0.6885245901639344,0.3989262831542168,0.9875,0.6885245901639344,1.0,0.0,0.0,0.0,0.0,0.0,0.653632802979052,core,1,clinical,11,26,10,90
27,labevents::50882::Bicarbonate::valuenum,Bicarbonate,labevents,50882,valuenum,lab_blood_gas_respiration,observed_fraction,0.0622139573097229,7866,1.0,1130,6736,0.0017467337893322,0.0546460188925266,0.0634835213422775,0.0088375024497509,-0.0741656104861627,0.0741656104861627,0.4385480603493578,0.5614519396506421,0.1301920568418399,0.9062749726707194,0.0058826198971468,False,False,,0.3850393389088843,21,10,1.000127206593328,29.0,0.3008466170489917,0.1683854437197852,0.5,1.0,0.2403986185789108,80.0,80.0,False,,0.540983606557377,0.3850393389088843,1.0,0.540983606557377,1.0,0.0,0.0,0.0,0.0,0.0,0.6237085229841407,core,1,clinical,12,27,11,25
38,labevents::50811::Hemoglobin::valuenum,Hemoglobin,labevents,50811,valuenum,lab_cbc,slope,0.0092592593282461,253,0.0321637426900584,35,218,0.0600767843425273,-0.1565353125333786,-0.0434571132063865,0.113078199326992,-0.1592822395880443,0.1592822395880443,0.3799475753604194,0.6200524246395805,0.1828392559558244,1.272755387034084,0.0306762628889241,False,False,,0.5057121103802511,30,1,1.000127149679097,4.0,0.4962942326191227,0.0188357555222567,0.5,0.8875,0.0140719499861006,80.0,80.0,False,,0.9508196721311476,0.5057121103802511,0.8875,0.9508196721311476,0.0321637426900584,0.0,0.0,0.0,0.0,0.0,0.6113439418093107,core,1,clinical,13,38,12,188
37,labevents::51301::White Blood Cells::valuenum,White Blood Cells,labevents,51301,valuenum,lab_cbc,observed_fraction,0.0546921342611312,7866,1.0,1130,6736,0.0014443951658904,0.0500368736684322,0.055473081767559,0.0054362080991268,-0.0501694424400302,0.0501694424400302,0.456112316860404,0.543887683139596,0.1350100732727663,0.9398134835075926,0.0054427879194187,False,False,,0.3424681036122702,29,8,1.0001271780355176,42.0,0.2466656798454493,0.1916048475336417,0.5,1.0,0.3041626026789686,80.0,80.0,False,,0.3278688524590164,0.3424681036122702,1.0,0.3278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,0.5683142015754844,strong,2,clinical,14,37,13,30
53,labevents::50912::Creatinine::valuenum,Creatinine,labevents,50912,valuenum,lab_renal,observed_fraction,0.0630403012037277,7866,1.0,1130,6736,0.0017805132083594,0.0556047186255455,0.0642876625061035,0.008682943880558,-0.072173948672384,0.072173948672384,0.4408468958232611,0.5591531041767388,0.1305332151798783,0.908649796995507,0.0054177077398636,False,False,,0.3795138588177542,21,10,1.0001271492581196,37.0,0.2584870631953745,0.2420535912447593,0.5,0.9,0.1502841776878995,80.0,80.0,False,,0.4098360655737705,0.3795138588177542,0.9,0.4098360655737705,1.0,0.0,0.0,0.0,0.0,0.0,0.5658213707600803,strong,2,clinical,15,53,14,22
59,labevents::51274::PT::valuenum,PT,labevents,51274,valuenum,lab_coagulation,mean,0.0367615893483161,5000,0.6356470887363336,669,4331,97.79743957519533,18.9293270111084,17.463117599487305,1.4662094116210938,0.0504742222021867,0.0504742222021867,0.5408074164805541,0.5408074164805541,0.1553273489771708,1.0812432982782532,0.0053825891871526,False,False,,0.3023163849104385,36,1,1.000127148078631,35.0,0.2738206364669755,0.056991496886926,0.5,1.0,0.0787657120730727,80.0,80.0,False,,0.4426229508196722,0.3023163849104385,1.0,0.4426229508196722,0.6356470887363336,0.0,0.0,0.0,0.0,0.0,0.5427842145106994,strong,2,clinical,16,59,15,72
58,labevents::51237::INR(PT)::valuenum,INR(PT),labevents,51237,valuenum,lab_coagulation,slope,0.0367615893483161,359,0.0456394609712687,61,298,0.0119562251493334,-0.0365768149495124,-0.0203335843980312,0.0162432305514812,-0.0557897086377936,0.0557897086377936,0.4609968093299593,0.5390031906700408,0.1695065328024035,1.1799454752422178,0.0345047658939619,False,False,,0.3441083110641215,35,1,1.0001271426167375,23.0,0.3359091733457831,0.0163982754366768,0.5,0.95,0.0306386179843684,80.0,80.0,False,,0.639344262295082,0.3441083110641215,0.95,0.639344262295082,0.0456394609712687,0.0,0.0,0.0,0.0,0.0,0.5206652918753797,strong,2,clinical,17,58,16,71
51,labevents::50960::Magnesium::valuenum,Magnesium,labevents,50960,valuenum,lab_electrolyte,observed_fraction,0.0596766658127307,7866,1.0,1130,6736,0.0017172147054225,0.0523598827421665,0.0609040968120098,0.0085442140698432,-0.0723179672604715,0.0723179672604715,0.439774990540853,0.560225009459147,0.1305357512034895,0.9086674504129636,0.0068518780130482,False,False,,0.3848553882164653,21,10,1.0001271858628318,32.0,0.2916652619790258,0.186380252474879,0.5,0.675,0.0514419549211999,80.0,80.0,False,,0.4918032786885246,0.3848553882164653,0.675,0.4918032786885246,1.0,0.0,0.0,0.0,0.0,0.0,0.5163172722026446,strong,2,clinical,18,51,17,37
52,labevents::50970::Phosphate::valuenum,Phosphate,labevents,50970,valuenum,lab_blood_gas_respiration,observed_fraction,0.0581617094576358,7866,1.0,1130,6736,0.0016631059115752,0.0512536838650703,0.0593205615878105,0.0080668777227401,-0.0693796193770439,0.0693796193770439,0.4427177048956341,0.5572822951043659,0.1310187460257902,0.912029607291032,0.0083926624279937,False,False,,0.3837308148630315,21,10,1.0001271017757982,36.0,0.2722841044793083,0.2228934207674465,0.5,0.6125,0.0823438427003566,80.0,80.0,False,,0.4262295081967213,0.3837308148630315,0.6125,0.4262295081967213,1.0,0.0,0.0,0.0,0.0,0.0,0.4841151460982537,strong,2,clinical,19,52,18,38
49,"labevents::50893::Calcium, Total::valuenum","Calcium, Total",labevents,50893,valuenum,lab_electrolyte,observed_fraction,0.0580928474664688,7866,1.0,1130,6736,0.0016563237877562,0.0511799417436122,0.0592525228857994,0.0080725811421871,-0.0695706756633528,0.0695706756633528,0.4425264199230656,0.5574735800769344,0.1309288689245477,0.9114039672216748,0.006252815555197,False,False,,0.377650985908136,21,10,1.0001271427355942,44.0,0.2429551047516758,0.2693917623129203,0.5,0.6375,0.0596270764204291,80.0,80.0,False,,0.2950819672131147,0.377650985908136,0.6375,0.2950819672131147,1.0,0.0,0.0,0.0,0.0,0.0,0.4635616892150637,strong,2,clinical,20,49,19,39
225,chartevents::225638::Differential-Bands::valuenum,Differential-Bands,chartevents,225638,valuenum,chart_other,min,0.0029663529712706,492,0.0625476735316552,88,404,47.040069580078125,7.659090995788574,3.32920789718628,4.329883098602295,0.2419407963829636,0.2419407963829636,0.6650118136813682,0.6650118136813682,0.3284697894718254,2.2864985521994505,0.0665400321518683,False,False,,0.7317721172861517,138,1,1.000127177554064,2.0,0.7239276197990026,0.0156889949742981,0.5,1.0,0.0977280746214091,80.0,80.0,False,,0.9945652173913044,0.7317721172861517,1.0,0.9945652173913044,0.0625476735316552,0.0,0.0,0.0,0.0,0.0,0.7246994460172719,core,1,algorithmic,1,225,20,225
147,chartevents::220224::Arterial O2 pressure::valuenum,Arterial O2 pressure,chartevents,220224,valuenum,chart_other,slope,0.012448089197278,246,0.0312738367658276,65,181,461.5187377929688,3.3299145698547363,-4.78676700592041,8.116681575775146,0.1665883528464671,0.1665883528464671,0.609222269443264,0.609222269443264,0.3789592499271365,2.6379588140945627,0.0675608822457725,False,False,,0.6810186306611028,67,1,1.0001271493349646,3.0,0.6781596342164123,0.0057179928893808,0.5,1.0,0.1734119943808764,80.0,80.0,False,,0.9891304347826086,0.6810186306611028,1.0,0.9891304347826086,0.0312738367658276,0.0,0.0,0.0,0.0,0.0,0.7052590598314352,core,1,algorithmic,2,147,21,147
346,"labevents::50884::Bilirubin, Indirect::valuenum","Bilirubin, Indirect",labevents,50884,valuenum,lab_liver_protein,min,0.0011600559810176,193,0.0245359776252224,34,159,11.319173812866213,3.8000004291534415,2.143396377563477,1.6566040515899658,0.1875823636897153,0.1875823636897153,0.5075841657417683,0.5075841657417683,0.3305238539030491,2.300797021948128,0.0790938758357002,False,False,,0.5858920261114429,248,1,1.0001271333725057,9.0,0.5796967001947814,0.0123906518333231,0.5,1.0,0.0858001219574362,80.0,80.0,False,,0.9565217391304348,0.5858920261114429,1.0,0.9565217391304348,0.0245359776252224,0.0,0.0,0.0,0.0,0.0,0.6695255534220421,core,1,algorithmic,3,346,22,346
275,chartevents::226534::Sodium (whole blood)::valuenum,Sodium (whole blood),chartevents,226534,valuenum,chart_other,last,0.0025849647354334,331,0.0420798372743452,90,241,62.56579208374024,136.4888916015625,134.495849609375,1.9930419921875,0.1121111836795733,0.1121111836795733,0.5990779160903642,0.5990779160903642,0.31106718792525,2.165357964796476,0.0560654102981619,False,False,,0.556640758000999,182,1,1.0001271426775813,14.0,0.5346541469311055,0.0439732221397871,0.5,1.0,0.0680192685103975,80.0,80.0,False,,0.9293478260869564,0.556640758000999,1.0,0.9293478260869564,0.0420798372743452,0.0,0.0,0.0,0.0,0.0,0.6570697763451255,core,1,algorithmic,4,275,23,275
288,chartevents::226536::Chloride (whole blood)::valuenum,Chloride (whole blood),chartevents,226536,valuenum,chart_other,last,0.001822188263759,256,0.0325451309433002,77,179,60.44808578491211,105.32467651367188,102.8575439453125,2.467132568359375,0.1455235476741513,0.1455235476741513,0.5938112167162446,0.5938112167162446,0.3694900781966676,2.5720433230929096,0.0516231412723537,False,False,,0.6263670529148496,194,1,1.0001271417412452,4.0,0.6202068128373656,0.0123204801549682,0.5,0.8125,0.0246056058473186,80.0,80.0,False,,0.9836956521739132,0.6263670529148496,0.8125,0.9836956521739132,0.0325451309433002,0.0,0.0,0.0,0.0,0.0,0.6316537594035675,core,1,algorithmic,5,288,24,288
254,chartevents::229357::Absolute Count - Neuts::valuenum,Absolute Count - Neuts,chartevents,229357,valuenum,chart_other,min,0.0023465971462428,403,0.0512331553521484,60,343,80.7589340209961,13.540833473205566,10.50330924987793,3.0375242233276367,0.1203211910723595,0.1203211910723595,0.6298347910592809,0.6298347910592809,0.2159391966062487,1.503166124340489,0.0565229131816633,False,False,,0.5370030780643725,164,1,1.00012718286912,16.0,0.5246071334022623,0.0247918893242204,0.5,0.9125,0.0386710453749401,80.0,80.0,False,,0.9184782608695652,0.5370030780643725,0.9125,0.9184782608695652,0.0512331553521484,0.0,0.0,0.0,0.0,0.0,0.6236698911284396,core,1,algorithmic,6,254,25,254
315,labevents::50924::Ferritin::valuenum,Ferritin,labevents,50924,valuenum,lab_other,min,0.0012077294522896,226,0.0287312484108822,33,193,35900472.0,2277.939453125,1649.0745849609375,628.8648681640625,0.0370624717574627,0.0370624717574627,0.6583451091223113,0.6583451091223113,0.2216545209663627,1.5429508512578844,0.0647575853614343,False,False,,0.455664268892879,220,1,1.000127173516012,32.0,0.4513738537200687,0.0085808303456205,0.5,0.925,0.0313659919032943,80.0,80.0,False,,0.8315217391304348,0.455664268892879,0.925,0.8315217391304348,0.0287312484108822,0.0,0.0,0.0,0.0,0.0,0.5833767533350389,strong,2,algorithmic,7,315,26,315
140,chartevents::220632::LDH::valuenum,LDH,chartevents,220632,valuenum,chart_other,mean,0.0088460883125662,1444,0.1835748792270531,187,1257,830227.125,689.8141479492188,437.114501953125,252.6996459960937,0.0931166686443845,0.0931166686443845,0.5900603678225467,0.5900603678225467,0.1849139973027569,1.2871977900738814,0.0356050502678884,False,False,,0.4297293396086116,58,2,1.0001271710178532,40.0,0.4188661592319043,0.0217263607534146,0.5,0.9,0.0802128771843854,80.0,80.0,False,,0.7880434782608696,0.4297293396086116,0.9,0.7880434782608696,0.1835748792270531,0.0,0.0,0.0,0.0,0.0,0.5748849854574627,strong,2,algorithmic,8,140,27,140
223,"labevents::51214::Fibrinogen, Functional::valuenum","Fibrinogen, Functional",labevents,51214,valuenum,lab_coagulation,mean,0.0039780912920832,530,0.0673785914060513,128,402,39578.20703125,313.9462890625,337.4681396484375,23.5218505859375,-0.0506040372881783,0.0506040372881783,0.4365282960199005,0.5634717039800995,0.2478003212772266,1.7249533868731548,0.0635413689516291,False,False,,0.4184944757997538,136,1,1.0001271392312994,45.0,0.4098484764458027,0.0172919987079021,0.5,0.85,0.0142147325541373,80.0,80.0,False,,0.7608695652173914,0.4184944757997538,0.85,0.7608695652173914,0.0673785914060513,0.0,0.0,0.0,0.0,0.0,0.5394601149240095,strong,2,algorithmic,9,223,28,223
369,"labevents::51283::Reticulocyte Count, Automated::valuenum","Reticulocyte Count, Automated",labevents,51283,valuenum,lab_other,max,0.0009269853471778,172,0.0218662598525298,23,149,2.2814791202545166,2.208695650100708,2.679194688796997,0.470499038696289,-0.1060178580005479,0.1060178580005479,0.3740881237233732,0.6259118762766267,0.1195333515707899,0.8320790650051627,0.1016281499016662,False,False,,0.4557053569381807,268,1,1.000127155646361,34.0,0.4512419782897272,0.008926757296907,0.5,1.0,0.0677297622547485,80.0,80.0,False,,0.8206521739130435,0.4557053569381807,1.0,0.8206521739130435,0.0218662598525298,0.0,0.0,0.0,0.0,0.0,0.6030286678493159,strong,2,algorithmic,10,369,29,369
