feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,standardized_variance_diagonal,mrmr_rank,mrmr_score,mean_abs_corr_with_previous_selected,lambda_redundancy,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,elasticnet_successful_bootstraps,elasticnet_n_requested_bootstraps,rfecv_selected,rfecv_rank,mrmr_rank_score,component_relevance,component_stability,component_mrmr,component_coverage,component_rfecv,penalty_leakage,penalty_static,penalty_sparse,penalty_low_relevance,consensus_score,recommendation,recommendation_order,final_branch,final_rank_within_branch,evidence_feature_index,final_feature_order,broad_feature_index
0,chartevents::220045::Heart Rate::valuenum,Heart Rate,chartevents,220045,valuenum,vital_heart_rate,observed_fraction,0.614395260810852,7866,1.0,1130,6736,0.1491189301013946,0.4574114978313446,0.6407302021980286,0.1833187043666839,-0.166504730060404,0.166504730060404,0.3695630268219368,0.6304369731780632,0.117492996403542,0.8178760262922669,0.0288595653881016,False,False,higher_may_indicate_physiologic_stress,0.6172155228066162,1,3,1.000127132049957,2.0,0.5984571318860455,0.0375167818411411,0.5,1.0,0.6315987154841423,80.0,80.0,False,,0.9836065573770492,0.6172155228066162,1.0,0.9836065573770492,1.0,0.0,0.0,0.0,0.0,0.0,0.7818859683173947,core,1,clinical,1,0,0,0
1,chartevents::220210::Respiratory Rate::valuenum,Respiratory Rate,chartevents,220210,valuenum,vital_respiratory_rate,observed_fraction,0.6121969819068909,7866,1.0,1130,6736,0.1487498730421066,0.4569321870803833,0.6382434964179993,0.1813113093376159,-0.1648857168253269,0.1648857168253269,0.3712242238244383,0.6287757761755617,0.1181200148172542,0.8222407403119665,0.0291361401789942,False,False,higher_may_indicate_respiratory_distress,0.6150562492017547,1,3,1.000127131632771,6.0,0.4928069077615921,0.2444986828803253,0.5,0.525,0.1820850274100929,80.0,80.0,False,,0.918032786885246,0.6150562492017547,0.525,0.918032786885246,1.0,0.0,0.0,0.0,0.0,0.0,0.6256234321375757,strong,2,clinical,2,1,1,1
2,chartevents::220277::O2 saturation pulseoxymetry::valuenum,O2 saturation pulseoxymetry,chartevents,220277,valuenum,vital_oxygen_saturation,observed_fraction,0.6005911231040955,7866,1.0,1130,6736,0.1457270830869674,0.4507743418216705,0.6257237195968628,0.1749493777751922,-0.1607417221625587,0.1607417221625587,0.3719787221743426,0.6280212778256573,0.1181208277769561,0.8222463993748115,0.0284949640530267,False,False,lower_may_indicate_worse_oxygenation,0.6073496004040388,1,3,1.0001271065080313,10.0,0.4347694187263249,0.3451603633554278,0.5,0.7625,0.2167132183170412,80.0,80.0,False,,0.8524590163934427,0.6073496004040388,0.7625,0.8524590163934427,1.0,0.0,0.0,0.0,0.0,0.0,0.6814466833999001,core,1,clinical,3,2,2,2
4,chartevents::220179::Non Invasive Blood Pressure systolic::valuenum,Non Invasive Blood Pressure systolic,chartevents,220179,valuenum,vital_blood_pressure,observed_fraction,0.5064465403556824,7866,1.0,1130,6736,0.1511605679988861,0.3568584024906158,0.5315407514572144,0.1746823489665985,-0.1575854134121709,0.1575854134121709,0.3662551499800307,0.6337448500199693,0.1165060592761105,0.8110058958105183,0.0208788486107147,False,False,low_or_high_may_indicate_instability,0.58419801726421,3,3,1.0001271780342136,12.0,0.414128499271524,0.3401390359853718,0.5,1.0,0.1516035003121942,80.0,80.0,False,,0.819672131147541,0.58419801726421,1.0,0.819672131147541,1.0,0.0,0.0,0.0,0.0,0.0,0.7391938314087712,core,1,clinical,4,4,3,11
5,chartevents::220180::Non Invasive Blood Pressure diastolic::valuenum,Non Invasive Blood Pressure diastolic,chartevents,220180,valuenum,vital_blood_pressure,observed_fraction,0.5063617825508118,7866,1.0,1130,6736,0.1511126458644867,0.3568584024906158,0.5314417481422424,0.1745833456516266,-0.1575210955274577,0.1575210955274577,0.3662994897315704,0.6337005102684296,0.1164931535722306,0.8109160584063418,0.0211591439115368,False,False,low_or_high_may_indicate_instability,0.5849155475592048,3,3,1.0001271598487709,8.0,0.453207046254704,0.2634170026090017,0.5,0.9875,0.093638349068351,80.0,80.0,False,,0.8852459016393442,0.5849155475592048,0.9875,0.8852459016393442,1.0,0.0,0.0,0.0,0.0,0.0,0.7487738445956303,core,1,clinical,5,5,4,14
10,chartevents::223761::Temperature Fahrenheit::valuenum,Temperature Fahrenheit,chartevents,223761,valuenum,vital_temperature,observed_fraction,0.1649239361286163,7866,1.0,1130,6736,0.0118921715766191,0.1300884932279586,0.1707677841186523,0.0406792908906936,-0.1308364920818585,0.1308364920818585,0.3811967922981523,0.6188032077018477,0.1253018679781196,0.8722340650583089,0.016050694238747,False,False,,0.529426436068235,7,1,1.000127160241944,18.0,0.383161535482399,0.292529801171672,0.5,0.8375,0.0401627295348589,80.0,80.0,False,,0.7213114754098361,0.529426436068235,0.8375,0.7213114754098361,1.0,0.0,0.0,0.0,0.0,0.0,0.6543402259024377,core,1,clinical,6,10,5,8
21,chartevents::223834::O2 Flow::valuenum,O2 Flow,chartevents,223834,valuenum,respiratory_support_intensity,last,0.1155394539237022,5336,0.6783625730994152,686,4650,61.44612121582031,7.955539226531982,5.765322685241699,2.190216541290283,0.0935217413588945,0.0935217413588945,0.6370135427442867,0.6370135427442867,0.1848394257918788,1.2866786931671852,0.0118643813823853,False,False,,0.4871656367817437,17,1,1.000127141381205,9.0,0.4459728432392632,0.0823855870849609,0.5,1.0,0.1620396280661225,80.0,80.0,False,,0.8688524590163934,0.4871656367817437,1.0,0.8688524590163934,0.6783625730994152,0.0,0.0,0.0,0.0,0.0,0.6877564401477433,core,1,clinical,7,21,6,69
20,chartevents::223835::Inspired O2 Fraction::valuenum,Inspired O2 Fraction,chartevents,223835,valuenum,respiratory_support_intensity,last,0.0345315262675285,1795,0.2281973048563437,398,1397,545.8557739257812,66.34296417236328,56.555477142333984,9.787487030029297,0.1740233836402449,0.1740233836402449,0.6193287482509181,0.6193287482509181,0.2927537067475576,2.0378766878551224,0.0113821877331219,False,False,,0.5743131054248296,16,1,1.0001270978211303,3.0,0.5431271039329718,0.0623720029837155,0.5,1.0,0.2308739356696605,80.0,80.0,False,,0.9672131147540984,0.5743131054248296,1.0,0.9672131147540984,0.2281973048563437,0.0,0.0,0.0,0.0,0.0,0.6885562850639029,core,1,clinical,8,20,7,127
34,labevents::50813::Lactate::valuenum,Lactate,labevents,50813,valuenum,lab_metabolic,last,0.0309242308139801,3130,0.3979150775489448,544,2586,2.4089183807373047,2.40214467048645,1.884740948677063,0.5174037218093872,0.126324575637236,0.126324575637236,0.5528044817114781,0.5528044817114781,0.2377256907538353,1.6548232597076715,0.001132697126924,False,False,higher_may_indicate_shock_or_stress,0.412165073174347,27,1,1.0001271624710812,17.0,0.3780827646647148,0.0681646170192643,0.5,1.0,0.1206223296001553,80.0,80.0,False,,0.7377049180327868,0.412165073174347,1.0,0.7377049180327868,0.3979150775489448,0.0,0.0,0.0,0.0,0.0,0.610982013313756,core,1,clinical,9,34,8,84
23,labevents::50820::pH::valuenum,pH,labevents,50820,valuenum,lab_blood_gas_respiration,mean,0.0303203668445348,3045,0.3871090770404271,565,2480,0.0073770219460129,7.365856647491455,7.389374256134033,0.0235176086425781,-0.106442036738614,0.106442036738614,0.4447205966314587,0.5552794033685413,0.1745953158339128,1.2153688091589017,0.0218666175051256,False,False,lower_may_indicate_acidosis,0.4131879297786303,19,1,1.0001271317303622,16.0,0.38272891376692,0.0609180320234205,0.5,1.0,0.0626588945975527,80.0,80.0,False,,0.7540983606557377,0.4131879297786303,1.0,0.7540983606557377,0.3871090770404271,0.0,0.0,0.0,0.0,0.0,0.6134869587687793,core,1,clinical,10,23,9,88
